,Count,Time/Cells/Single Cells/Live | Count,Time/Cells/Single Cells/Live/CD45+ | Count,"Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3+ (T cells) *** | Count","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)*** | Count","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16+, CD56dim (NK Cells CD56dim) | Count","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16-, CD56bright (NK Cells CD56bright) | Count","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD19+ (B cells)*** | Count","Time/Cells/Single Cells/Live/CD45+/CD45low, CD16+ (Neutrophils) *** | Count","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123+ (Basophils) *** | Count","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123+, CD16- (pDCs) *** | Count","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16-/CD11c+ (Total cDCs) *** | Count","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16-/CD11c+ (Total cDCs) ***/CD141- CD1c+ (cDC2s) *** | Count","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16-/CD11c+ (Total cDCs) ***/CD141+, CD1c- (cDC1s) *** | Count","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16-/CD11c+ (Total cDCs) ***/CD141-, CD1c- (DN cDCs) *** | Count","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14+/CD16+ (Intermediate Monocytes)+ or CD16- (Classical Monocytes)+ or CD123-, CD16+ (Non-Classical Monocytes)+ | Count","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14+/CD16- (Classical Monocytes) | Count","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14+/CD16+ (Intermediate Monocytes) | Count","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16+ (Non-Classical Monocytes) | Count",
2022-08-30_2022-09-01_SAC253053 D0.fcs,5.00E5,224051,122663,63686,7010,5637,240,8631,3362,982,371,1230,969,77.0,184,27739,24076,1091,2572,
2022-08-30_2022-09-01_SAC253053 D2.fcs,5.00E5,194774,148540,75374,10542,8329,375,10112,3222,1105,501,1647,1196,67.0,379,32772,28447,1118,3207,
2022-08-30_2022-09-01_Tasso ID 1 Tasso Ack Lysed WB D0 Fresh.fcs,54122,48220,48014,18810,2795,2643,62.0,639,23068,156,119,165,137,4.00,24.0,2061,1627,285,149,
2022-08-30_2022-09-01_Tasso ID 3 Tasso Ack Lysed WB D0 Fresh.fcs,201383,168072,167315,32942,7272,5625,225,1991,111412,941,614,298,211,16.0,70.0,11251,8494,1388,1369,
2022-08-30_2022-09-01_Tasso ID 4 Vein Tasso Lysed WB D0 Fresh.fcs,100183,84465,84254,20279,2621,2422,80.0,1143,56068,536,126,181,140,8.00,32.0,3109,2751,234,124,
2022-08-30_2022-09-01_Tasso ID 1 Tasso Ack Lysed WB D2 Fresh.fcs,140080,58737,57360,28255,2849,2515,77.0,4071,16235,616,220,186,113,4.00,69.0,4470,2848,1294,328,
2022-08-30_2022-09-01_Tasso ID 3 Tasso Ack Lysed WB D2 Fresh.fcs,36099,22171,21915,11512,1303,999,55.0,917,5856,247,171,74.0,33.0,1.00,40.0,1582,1281,166,135,
2022-08-30_2022-09-01_Tasso ID 4 Vein Tasso Lysed WB D2 Fresh.fcs,4.35E5,154060,151792,54490,5237,4414,164,7750,69417,1800,345,414,288,20.0,103,11489,7331,3720,438,
2022-08-30_2022-09-01_Tasso ID 1 Vein PBMC D0 Fresh.fcs,5.00E5,96418,84864,62699,6567,6044,260,2855,132,577,456,491,429,11.0,51.0,10540,8647,1463,430,
2022-08-30_2022-09-01_Tasso ID 3 Vein PBMC D0 Fresh.fcs,109374,77349,76899,63672,9512,8762,318,1685,28.0,121,158,82.0,45.0,4.00,33.0,1206,742,61.0,403,
2022-08-30_2022-09-01_Tasso ID 4 Vein PBMC WB D0 Fresh.fcs,4.45E5,120609,114877,75942,7899,6951,409,4934,4402,800,696,860,642,44.0,171,18061,16372,1329,360,
2022-08-30_2022-09-01_Tasso ID 1 Vein Ack Lysed WB D0 Fresh.fcs,5.00E5,360315,352754,93589,11525,9458,452,5426,207874,2326,895,1051,899,33.0,117,29084,24867,3017,1200,
2022-08-30_2022-09-01_Tasso ID 3 Vein Ack Lysed WB D0 Fresh.fcs,4.70E5,378117,373703,66268,11740,8494,487,3569,262844,2147,1303,620,482,33.0,104,24348,17879,3579,2890,
2022-08-30_2022-09-01_Tasso ID 4 Vein Ack Lysed WB D0 Fresh.fcs,5.00E5,364867,348016,57747,6347,4701,337,5606,252003,2474,562,722,532,33.0,149,21851,19919,1413,519,
