,"Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123+, CD16- (pDCs) ***/Phen Axl+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123+, CD16- (pDCs) ***/Phen BTLA+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123+, CD16- (pDCs) ***/Phen CD11b+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123+, CD16- (pDCs) ***/Phen CD16+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123+, CD16- (pDCs) ***/Phen CD32+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123+, CD16- (pDCs) ***/Phen CD38+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123+, CD16- (pDCs) ***/Phen CD40+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123+, CD16- (pDCs) ***/Phen CD68+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123+, CD16- (pDCs) ***/Phen CD80+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123+, CD16- (pDCs) ***/Phen CD85k+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123+, CD16- (pDCs) ***/Phen CD86+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123+, CD16- (pDCs) ***/Phen CD163+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123+, CD16- (pDCs) ***/Phen CD206+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123+, CD16- (pDCs) ***/Phen CX3CR1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123+, CD16- (pDCs) ***/Phen PDL1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123+, CD16- (pDCs) ***/Phen PDL2+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123+, CD16- (pDCs) ***/Phen Sirpa+ | Freq. of Parent (%)",
2022-08-30_2022-09-01_SAC253053 D0.fcs,15.9,55.5,4.04,0.27,8.36,89.2,0,21.0,0,95.7,12.4,3.77,3.50,2.96,0,0,0.27,
2022-08-30_2022-09-01_SAC253053 D2.fcs,16.8,68.1,4.79,0,17.6,88.0,0,22.6,0,92.0,9.98,4.19,1.40,1.40,0,1.20,0.80,
2022-08-30_2022-09-01_Tasso ID 1 Tasso Ack Lysed WB D0 Fresh.fcs,6.72,99.2,0,0,0,87.4,0,91.6,0,100,8.40,1.68,0,3.36,0,0,0,
2022-08-30_2022-09-01_Tasso ID 3 Tasso Ack Lysed WB D0 Fresh.fcs,3.42,83.9,0.81,0.49,1.14,95.3,0.16,85.7,0,99.2,3.26,1.47,1.30,1.95,0,0.65,0.16,
2022-08-30_2022-09-01_Tasso ID 4 Vein Tasso Lysed WB D0 Fresh.fcs,3.97,90.5,2.38,0,0.79,95.2,0,77.8,0,96.8,3.97,3.17,3.97,5.56,0,0,0.79,
2022-08-30_2022-09-01_Tasso ID 1 Tasso Ack Lysed WB D2 Fresh.fcs,8.18,56.4,0.91,0.45,1.36,87.7,0,0.91,0,98.6,6.82,0.45,6.82,0,0,0.45,0,
2022-08-30_2022-09-01_Tasso ID 3 Tasso Ack Lysed WB D2 Fresh.fcs,6.43,31.6,0,0,0,91.8,0,0,0,100,3.51,0.58,1.75,0.58,0,1.75,0,
2022-08-30_2022-09-01_Tasso ID 4 Vein Tasso Lysed WB D2 Fresh.fcs,10.4,47.0,0.58,0.29,0.87,93.6,0.29,3.48,0,97.7,5.51,2.32,9.28,4.06,0,1.45,0.29,
2022-08-30_2022-09-01_Tasso ID 1 Vein PBMC D0 Fresh.fcs,6.14,94.5,3.07,0,5.70,77.0,0,77.0,0,97.1,3.95,3.29,5.04,4.17,0.22,0.44,0,
2022-08-30_2022-09-01_Tasso ID 3 Vein PBMC D0 Fresh.fcs,17.7,93.7,0,0.63,1.27,93.0,0.63,74.7,0.63,98.7,12.7,5.06,0.63,6.33,0,0,0.63,
2022-08-30_2022-09-01_Tasso ID 4 Vein PBMC WB D0 Fresh.fcs,9.05,93.8,1.44,0,1.58,90.7,1.01,74.4,0.14,97.6,2.73,4.45,5.89,5.89,0.14,0.43,0.29,
2022-08-30_2022-09-01_Tasso ID 1 Vein Ack Lysed WB D0 Fresh.fcs,5.92,92.1,1.01,0.22,0.67,78.8,0.22,87.8,0,98.2,4.69,2.91,2.23,3.69,0,0,0.22,
2022-08-30_2022-09-01_Tasso ID 3 Vein Ack Lysed WB D0 Fresh.fcs,3.07,77.0,1.69,1.00,2.53,93.2,0.23,87.0,0.077,97.7,3.53,1.23,0.54,2.61,0,0.077,0.31,
2022-08-30_2022-09-01_Tasso ID 4 Vein Ack Lysed WB D0 Fresh.fcs,3.56,85.9,1.42,0.53,0.53,93.4,1.25,60.1,0.18,98.0,3.20,2.31,3.91,4.98,0,0.18,0.36,
