,"Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123+, CD16- (pDCs) ***/Phen Axl+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123+, CD16- (pDCs) ***/Phen BTLA+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123+, CD16- (pDCs) ***/Phen CD11b+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123+, CD16- (pDCs) ***/Phen CD16+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123+, CD16- (pDCs) ***/Phen CD32+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123+, CD16- (pDCs) ***/Phen CD38+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123+, CD16- (pDCs) ***/Phen CD40+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123+, CD16- (pDCs) ***/Phen CD68+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123+, CD16- (pDCs) ***/Phen CD80+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123+, CD16- (pDCs) ***/Phen CD85k+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123+, CD16- (pDCs) ***/Phen CD86+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123+, CD16- (pDCs) ***/Phen CD163+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123+, CD16- (pDCs) ***/Phen CD206+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123+, CD16- (pDCs) ***/Phen CX3CR1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123+, CD16- (pDCs) ***/Phen PDL1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123+, CD16- (pDCs) ***/Phen PDL2+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123+, CD16- (pDCs) ***/Phen Sirpa+ | Freq. of Parent (%)",
2024-11-14_SAC253053.fcs,18.6,78.4,8.27,0,5.02,93.5,0.16,35.7,0,98.9,17.3,0.97,0.97,3.40,0,0.97,1.62,
2024-11-14_Tasso ID 05 Tasso WB SH.fcs,6.67,80.0,13.3,0,6.67,100,0,33.3,0,93.3,13.3,0,0,0,0,13.3,6.67,
2024-11-14_Tasso ID 05 Tasso WB.fcs,3.37,51.7,6.74,0,0,100,0,52.8,0,97.8,6.74,0,2.25,0,0,1.12,0,
2024-11-14_Tasso ID 05 Vein PBMC.fcs,5.34,95.0,5.23,0.21,3.52,95.9,0.32,55.9,0.11,98.3,11.0,0.21,2.67,1.71,0.11,0.96,1.07,
2024-11-14_Tasso ID 05 Vein WB.fcs,3.41,38.5,3.41,0.49,0.49,95.6,0.49,53.7,0,99.0,12.7,0.49,6.83,1.95,0,0.49,0.98,
2024-11-14_Tasso ID 07 Tasso WB SH.fcs,54.5,9.09,36.4,0,18.2,100,0,36.4,0,72.7,27.3,9.09,0,9.09,0,9.09,9.09,
2024-11-14_Tasso ID 07 Tasso WB.fcs,5.71,1.43,7.14,0,5.00,94.3,0.71,48.6,0,95.7,11.4,0,20.7,3.57,0,2.14,5.00,
2024-11-14_Tasso ID 07 Vein PBMC.fcs,11.3,95.4,9.05,0.20,1.61,98.6,1.61,62.0,0,97.8,14.7,0,14.1,4.83,0,4.02,2.01,
2024-11-14_Tasso ID 07 Vein WB.fcs,7.59,2.53,9.49,0,3.80,97.5,3.16,62.0,0,93.0,13.9,0,29.7,3.16,0,3.80,2.53,
2024-11-14_Tasso ID 12 Tasso WB SH.fcs,6.88,20.0,4.38,0,0,70.0,0,7.50,0,98.8,7.50,0,11.2,0.62,0,1.88,8.12,
2024-11-14_Tasso ID 12 Tasso WB.fcs,5.83,13.6,2.91,0,0,75.7,0,37.9,0,98.1,7.77,0,4.85,0,0,0.97,11.7,
2024-11-14_Tasso ID 12 Vein PBMC.fcs,5.93,96.5,5.71,0,0.44,71.9,0,62.2,0,99.1,5.27,0,2.20,1.76,0,1.10,14.3,
2024-11-14_Tasso ID 12 Vein WB.fcs,7.44,13.0,3.26,0,0.47,74.4,0,45.6,0,96.3,10.2,0,6.05,3.26,0,1.40,8.37,
2024-11-14_Tasso ID 17 Tasso WB SH.fcs,0,61.1,11.1,0,5.56,88.9,0,22.2,0,94.4,5.56,0,27.8,5.56,0,33.3,0,
2024-11-14_Tasso ID 17 Tasso WB.fcs,4.76,81.0,14.3,0,0,95.2,0,38.1,0,100,14.3,0,33.3,0,0,14.3,4.76,
2024-11-14_Tasso ID 17 Vein PBMC.fcs,6.56,87.6,11.7,0,8.66,95.9,0,42.6,0,93.2,9.64,0.56,11.0,1.54,0.14,3.07,0.84,
2024-11-14_Tasso ID 17 Vein WB.fcs,8.51,25.5,12.8,0,10.6,100,0,51.1,0,91.5,10.6,0,25.5,0,0,2.13,2.13,
2024-11-14_Tasso ID 18 Tasso WB SH.fcs,4.00,70.0,4.00,4.00,0,94.0,0,28.0,0,100,16.0,2.00,4.00,2.00,0,10.0,0,
