Donor,Group,Draw Date Time,Received Date Time,Transit Time,Transit Hours,Transit Days,Transit Days Bin
Tasso ID 01,Vein PBMC,2022-08-30T08:35:00,,,,,
Tasso ID 02,Vein PBMC,2022-08-17T10:00:00,,,,,
Tasso ID 03,Vein PBMC,2022-08-30T08:55:00,,,,,
Tasso ID 04,Vein PBMC,2022-08-30T10:28:00,,,,,
Tasso ID 05,Vein PBMC,2022-09-26T11:39:00,,,,,
Tasso ID 06,Vein PBMC,2022-09-19T08:29:00,,,,,
Tasso ID 07,Vein PBMC,2022-09-27T11:20:00,,,,,
Tasso ID 08,Vein PBMC,2022-09-20T09:10:00,,,,,
Tasso ID 09,Vein PBMC,2022-09-12T08:39:00,,,,,
Tasso ID 10,Vein PBMC,2022-09-19T09:23:00,,,,,
Tasso ID 11,Vein PBMC,2022-09-06T08:03:00,,,,,
Tasso ID 12,Vein PBMC,2022-09-26T11:53:00,,,,,
Tasso ID 13,Vein PBMC,2022-09-12T10:52:00,,,,,
Tasso ID 14,Vein PBMC,2022-09-19T11:16:00,,,,,
Tasso ID 15,Vein PBMC,2022-09-06T11:03:00,,,,,
Tasso ID 16,Vein PBMC,NA,,,,,
Tasso ID 17,Vein PBMC,2022-09-20T08:23:00,,,,,
Tasso ID 18,Vein PBMC,2022-09-27T08:45:00,,,,,
Tasso ID 19,Vein PBMC,2022-09-19T10:00:00,,,,,
Tasso ID 20,Vein PBMC,2022-09-20T09:06:00,,,,,
Tasso ID 21,Vein PBMC,2022-09-27T10:37:00,,,,,
Tasso ID 01,Vein WB,2022-08-30T08:35:00,,,,,
Tasso ID 02,Vein WB,2022-08-17T10:00:00,,,,,
Tasso ID 03,Vein WB,2022-08-30T08:55:00,,,,,
Tasso ID 04,Vein WB,2022-08-30T10:28:00,,,,,
Tasso ID 05,Vein WB,2022-09-26T11:39:00,,,,,
Tasso ID 06,Vein WB,2022-09-19T08:29:00,,,,,
Tasso ID 07,Vein WB,2022-09-27T11:20:00,,,,,
Tasso ID 08,Vein WB,2022-09-20T09:10:00,,,,,
Tasso ID 09,Vein WB,2022-09-12T08:39:00,,,,,
Tasso ID 10,Vein WB,2022-09-19T09:23:00,,,,,
Tasso ID 11,Vein WB,2022-09-06T08:03:00,,,,,
Tasso ID 12,Vein WB,2022-09-26T11:53:00,,,,,
Tasso ID 13,Vein WB,2022-09-12T10:52:00,,,,,
Tasso ID 14,Vein WB,2022-09-19T11:16:00,,,,,
Tasso ID 15,Vein WB,2022-09-06T11:03:00,,,,,
Tasso ID 16,Vein WB,NA,,,,,
Tasso ID 17,Vein WB,2022-09-20T08:23:00,,,,,
Tasso ID 18,Vein WB,2022-09-27T08:45:00,,,,,
Tasso ID 19,Vein WB,2022-09-19T10:00:00,,,,,
Tasso ID 20,Vein WB,2022-09-20T09:06:00,,,,,
Tasso ID 21,Vein WB,2022-09-27T10:37:00,,,,,
Tasso ID 01,Tasso WB,2022-08-30T08:43:00,,,,,
Tasso ID 02,Tasso WB,2022-08-17T10:00:00,,,,,
Tasso ID 03,Tasso WB,2022-08-30T09:00:00,,,,,
Tasso ID 04,Tasso WB,2022-08-30T10:33:00,,,,,
Tasso ID 05,Tasso WB,2022-09-26T11:49:00,,,,,
Tasso ID 06,Tasso WB,2022-09-19T08:34:00,,,,,
Tasso ID 07,Tasso WB,2022-09-27T11:30:00,,,,,
Tasso ID 08,Tasso WB,2022-09-20T09:01:00,,,,,
Tasso ID 09,Tasso WB,2022-09-12T08:46:00,,,,,
Tasso ID 10,Tasso WB,2022-09-19T09:28:00,,,,,
Tasso ID 11,Tasso WB,2022-09-06T08:09:00,,,,,
Tasso ID 12,Tasso WB,2022-09-26T12:07:00,,,,,
Tasso ID 13,Tasso WB,2022-09-12T10:59:00,,,,,
Tasso ID 14,Tasso WB,2022-09-19T11:23:00,,,,,
Tasso ID 15,Tasso WB,2022-09-06T11:26:00,,,,,
Tasso ID 16,Tasso WB,NA,,,,,
Tasso ID 17,Tasso WB,2022-09-20T08:39:00,,,,,
Tasso ID 18,Tasso WB,2022-09-27T08:53:00,,,,,
Tasso ID 19,Tasso WB,2022-09-19T10:07:00,,,,,
Tasso ID 20,Tasso WB,2022-09-20T09:15:00,,,,,
Tasso ID 21,Tasso WB,2022-09-27T10:45:00,,,,,
Tasso ID 01,Tasso WB Shipped,2022-08-30T08:45:00,2022-09-01T08:45:00,48:00:00,48,2,2
Tasso ID 02,Tasso WB Shipped,2022-08-17T10:00:00,2022-08-19T10:00:00,48:00:00,48,2,2
Tasso ID 03,Tasso WB Shipped,2022-08-30T09:00:00,2022-09-01T09:00:00,48:00:00,48,2,2
