,"Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/CD127low, CD25high (Tregs Total) ***~/Phen BTLA+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/CD127low, CD25high (Tregs Total) ***~/Phen CD25+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/CD127low, CD25high (Tregs Total) ***~/Phen CD27+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/CD127low, CD25high (Tregs Total) ***~/Phen CD28+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/CD127low, CD25high (Tregs Total) ***~/Phen CD38+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/CD127low, CD25high (Tregs Total) ***~/Phen CD69+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/CD127low, CD25high (Tregs Total) ***~/Phen CD103+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/CD127low, CD25high (Tregs Total) ***~/Phen CD127+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/CD127low, CD25high (Tregs Total) ***~/Phen CD137+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/CD127low, CD25high (Tregs Total) ***~/Phen CD161+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/CD127low, CD25high (Tregs Total) ***~/Phen CD223+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/CD127low, CD25high (Tregs Total) ***~/Phen GranzymeB+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/CD127low, CD25high (Tregs Total) ***~/Phen HLADR+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/CD127low, CD25high (Tregs Total) ***~/Phen ICOS+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/CD127low, CD25high (Tregs Total) ***~/Phen KI67+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/CD127low, CD25high (Tregs Total) ***~/Phen OX40+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/CD127low, CD25high (Tregs Total) ***~/Phen PD1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/CD127low, CD25high (Tregs Total) ***~/Phen TIM3+ | Freq. of Parent (%)",
2022-08-30_2022-09-01_SAC253053 D0.fcs,1.89,96.0,92.6,94.7,5.51,0.69,0.90,1.89,6.11,4.00,1.38,0.043,32.5,39.1,0.56,0.086,2.80,4.09,
2022-08-30_2022-09-01_SAC253053 D2.fcs,3.99,96.0,91.2,95.9,6.62,0.97,1.65,3.25,5.25,4.73,1.88,0,40.6,51.0,0.51,0.29,4.39,3.88,
2022-08-30_2022-09-01_Tasso ID 1 Tasso Ack Lysed WB D0 Fresh.fcs,4.10,89.7,91.3,92.3,9.74,0,2.05,1.03,10.3,2.05,4.62,5.13,28.7,26.2,2.05,1.03,5.64,1.54,
2022-08-30_2022-09-01_Tasso ID 1 Tasso Ack Lysed WB D2 Fresh.fcs,3.28,92.7,94.0,93.4,9.25,0.23,0.35,0.94,4.10,2.46,0.59,3.16,11.4,12.5,0.82,0,1.64,1.52,
2022-08-30_2022-09-01_Tasso ID 1 Vein PBMC D0 Fresh.fcs,2.80,95.0,95.3,97.8,10.2,0.47,0.93,0.93,8.07,3.73,3.26,1.40,19.3,26.1,1.40,0.47,2.80,2.17,
2022-08-30_2022-09-01_Tasso ID 1 Vein Ack Lysed WB D0 Fresh.fcs,2.35,91.8,92.2,93.3,10.4,0.069,1.31,0.48,11.1,1.66,2.28,10.5,23.9,30.0,0,0.28,4.84,1.11,
2022-08-30_2022-09-01_Tasso ID 3 Tasso Ack Lysed WB D0 Fresh.fcs,8.21,85.4,95.7,90.9,13.4,0,1.52,2.13,2.74,5.78,2.13,0.30,21.6,30.7,0.61,1.22,2.74,0.91,
2022-08-30_2022-09-01_Tasso ID 3 Tasso Ack Lysed WB D2 Fresh.fcs,12.8,89.8,96.0,91.2,10.2,0.25,1.25,2.50,3.50,6.50,2.75,0,15.0,20.0,2.50,0.75,3.00,4.00,
2022-08-30_2022-09-01_Tasso ID 3 Vein PBMC D0 Fresh.fcs,5.67,94.6,97.5,98.4,13.2,0.23,1.13,1.36,2.27,7.03,1.59,0,16.3,27.9,4.08,0.68,2.27,1.36,
2022-08-30_2022-09-01_Tasso ID 3 Vein Ack Lysed WB D0 Fresh.fcs,4.55,94.9,95.7,96.6,14.6,0.28,1.85,0.99,4.97,5.54,1.28,0,22.7,38.6,0,0.99,4.26,1.85,
2022-08-30_2022-09-01_Tasso ID 4 Tasso Ack Lysed WB D0 Fresh.fcs,5.18,95.3,95.9,97.0,11.9,0.31,0.16,0.94,6.91,4.71,3.14,0,23.4,38.9,0.16,0.31,2.51,1.73,
2022-08-30_2022-09-01_Tasso ID 4 Tasso Ack Lysed WB D2 Fresh.fcs,2.99,95.9,95.9,98.4,6.52,0.45,0.36,0.86,8.37,3.71,3.03,0.045,18.7,28.1,0.36,0.18,0.95,2.17,
2022-08-30_2022-09-01_Tasso ID 4 Vein PBMC D0 Fresh.fcs,6.85,97.6,93.5,99.3,11.4,0.79,0.60,2.28,7.94,5.06,5.76,0.099,24.8,42.4,2.28,0.60,1.79,6.85,
2022-08-30_2022-09-01_Tasso ID 4 Vein Ack Lysed WB D0 Fresh.fcs,1.55,97.5,95.6,99.2,10.1,0.36,0.56,0.64,9.67,3.46,3.11,0.12,27.5,40.4,0,0.88,1.39,1.27,
