,"Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA+ , CCR7- (TEMRA) ***/Phen BTLA+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA+ , CCR7- (TEMRA) ***/Phen CD25+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA+ , CCR7- (TEMRA) ***/Phen CD27+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA+ , CCR7- (TEMRA) ***/Phen CD28+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA+ , CCR7- (TEMRA) ***/Phen CD38+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA+ , CCR7- (TEMRA) ***/Phen CD69+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA+ , CCR7- (TEMRA) ***/Phen CD103+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA+ , CCR7- (TEMRA) ***/Phen CD127+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA+ , CCR7- (TEMRA) ***/Phen CD137+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA+ , CCR7- (TEMRA) ***/Phen CD161+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA+ , CCR7- (TEMRA) ***/Phen CD223+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA+ , CCR7- (TEMRA) ***/Phen GranzymeB+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA+ , CCR7- (TEMRA) ***/Phen HLADR+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA+ , CCR7- (TEMRA) ***/Phen ICOS+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA+ , CCR7- (TEMRA) ***/Phen KI67+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA+ , CCR7- (TEMRA) ***/Phen OX40+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA+ , CCR7- (TEMRA) ***/Phen PD1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA+ , CCR7- (TEMRA) ***/Phen TIM3+ | Freq. of Parent (%)",
2022-08-30_2022-09-01_SAC253053 D0.fcs,4.42,0.79,40.4,23.0,1.38,2.88,1.76,23.4,1.65,5.73,0.19,42.8,31.2,0.22,0,0,2.36,3.82,
2022-08-30_2022-09-01_SAC253053 D2.fcs,3.22,1.10,36.4,15.7,2.06,3.38,0.55,15.2,1.67,4.90,0,47.2,38.9,0.45,0,0.032,2.03,3.00,
2022-08-30_2022-09-01_Tasso ID 1 Tasso Ack Lysed WB D0 Fresh.fcs,11.3,1.70,19.8,14.2,1.70,0.19,3.02,10.9,2.08,10.6,0.19,85.1,7.74,0,0,5.28,2.83,9.62,
2022-08-30_2022-09-01_Tasso ID 1 Tasso Ack Lysed WB D2 Fresh.fcs,3.25,0.97,16.9,8.20,1.62,0.81,0.41,2.92,1.22,4.22,0.081,82.8,5.12,0.081,0.081,1.54,1.54,11.1,
2022-08-30_2022-09-01_Tasso ID 1 Vein PBMC D0 Fresh.fcs,13.2,0.56,21.5,15.1,1.12,1.36,5.29,10.7,4.09,9.05,0,83.5,8.41,0,0,8.49,4.01,10.2,
2022-08-30_2022-09-01_Tasso ID 1 Vein Ack Lysed WB D0 Fresh.fcs,10.5,0.78,17.9,9.56,1.25,0.43,2.20,10.3,2.32,6.26,0.087,86.3,7.59,0.058,0,7.36,3.91,7.30,
2022-08-30_2022-09-01_Tasso ID 3 Tasso Ack Lysed WB D0 Fresh.fcs,16.6,0.93,73.4,44.5,1.32,1.46,3.84,31.4,5.56,4.64,1.19,33.6,11.7,0.40,0,0,7.68,1.85,
2022-08-30_2022-09-01_Tasso ID 3 Tasso Ack Lysed WB D2 Fresh.fcs,8.90,1.37,56.5,30.8,1.03,2.40,1.37,12.0,3.77,1.37,0,41.8,9.59,0,0,0,2.05,2.40,
2022-08-30_2022-09-01_Tasso ID 3 Vein PBMC D0 Fresh.fcs,21.8,1.33,72.9,49.7,2.39,2.39,7.04,38.2,4.78,6.64,0.13,36.8,15.1,0.53,0.53,0.40,8.37,2.79,
2022-08-30_2022-09-01_Tasso ID 3 Vein Ack Lysed WB D0 Fresh.fcs,17.9,0.48,71.8,46.1,1.01,1.39,4.56,35.3,4.70,5.18,0.19,35.3,12.1,0.19,0,0.096,7.96,1.39,
2022-08-30_2022-09-01_Tasso ID 4 Tasso Ack Lysed WB D0 Fresh.fcs,12.6,1.17,67.3,42.3,1.91,0.73,1.17,33.9,6.31,0.88,0.88,57.0,4.99,0.59,0.15,0,0.44,1.76,
2022-08-30_2022-09-01_Tasso ID 4 Tasso Ack Lysed WB D2 Fresh.fcs,8.18,0.55,59.5,34.4,0.62,0.78,0.55,20.1,4.29,0.39,0.55,56.7,6.00,0.16,0.078,0.16,0.16,1.17,
2022-08-30_2022-09-01_Tasso ID 4 Vein PBMC D0 Fresh.fcs,20.4,3.02,71.0,51.8,0.92,1.17,1.68,33.3,8.97,2.35,0.25,57.5,6.96,0.92,0.25,0.084,0.42,6.20,
2022-08-30_2022-09-01_Tasso ID 4 Vein Ack Lysed WB D0 Fresh.fcs,9.41,0.92,63.9,38.3,0.67,0.37,1.01,35.5,7.23,1.32,0.58,58.1,6.84,0.37,0,0.15,0.77,0.77,
