,"Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA+ , CCR7- (TEMRA) ***/Phen BTLA+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA+ , CCR7- (TEMRA) ***/Phen CD25+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA+ , CCR7- (TEMRA) ***/Phen CD27+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA+ , CCR7- (TEMRA) ***/Phen CD28+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA+ , CCR7- (TEMRA) ***/Phen CD38+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA+ , CCR7- (TEMRA) ***/Phen CD69+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA+ , CCR7- (TEMRA) ***/Phen CD103+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA+ , CCR7- (TEMRA) ***/Phen CD127+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA+ , CCR7- (TEMRA) ***/Phen CD137+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA+ , CCR7- (TEMRA) ***/Phen CD161+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA+ , CCR7- (TEMRA) ***/Phen CD223+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA+ , CCR7- (TEMRA) ***/Phen GranzymeB+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA+ , CCR7- (TEMRA) ***/Phen HLADR+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA+ , CCR7- (TEMRA) ***/Phen ICOS+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA+ , CCR7- (TEMRA) ***/Phen KI67+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA+ , CCR7- (TEMRA) ***/Phen OX40+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA+ , CCR7- (TEMRA) ***/Phen PD1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA+ , CCR7- (TEMRA) ***/Phen TIM3+ | Freq. of Parent (%)",
2022-10-27_SAC253053.fcs,15.3,3.59,37.6,18.6,2.11,4.79,1.55,19.3,1.97,5.35,0.070,53.1,36.0,0.49,0.070,0,1.83,4.01,
2022-10-27_Tasso ID 6 Tasso Ack Lysed WB Frozen.fcs,35.8,4.94,80.2,44.4,2.47,0,0,18.5,0,8.64,0,59.3,16.0,0,2.47,1.23,2.47,18.5,
2022-10-27_Tasso ID 8 Tasso Ack Lysed WB Frozen.fcs,26.0,7.62,35.4,47.1,1.35,0.45,4.04,28.3,2.69,4.93,0,68.2,27.8,0,0,0,2.69,42.2,
2022-10-27_Tasso ID 9 Tasso Ack Lysed WB Frozen.fcs,23.8,1.59,72.2,63.5,1.59,2.38,0.79,38.9,3.17,20.6,0,32.5,4.76,0.79,0,0,8.73,11.9,
2022-10-27_Tasso ID 10 Tasso Ack Lysed WB Frozen.fcs,7.14,0,83.3,19.0,9.52,0,2.38,21.4,2.38,2.38,0,16.7,7.14,4.76,0,0,4.76,16.7,
2022-10-27_Tasso ID 11 Tasso Ack Lysed WB Frozen.fcs,42.4,12.5,35.4,47.5,3.30,0.22,3.96,12.5,3.08,7.69,0,70.5,31.9,1.76,0.44,0.22,6.59,17.6,
2022-10-27_Tasso ID 13 Tasso Ack Lysed WB Frozen.fcs,31.7,3.17,63.5,69.8,1.59,0,3.17,39.7,0,4.76,0,41.3,1.59,0,0,0,11.1,25.4,
2022-10-27_Tasso ID 14 Tasso Ack Lysed WB Frozen.fcs,63.6,6.95,11.6,53.3,6.29,1.66,0.66,18.5,0.66,2.98,0,91.1,27.5,0.66,0.33,0,0.66,15.9,
2022-10-27_Tasso ID 15 Tasso Ack Lysed WB Frozen.fcs,35.9,4.69,37.5,76.6,3.12,4.69,4.69,23.4,3.12,7.81,0,57.8,12.5,1.56,0,0,1.56,23.4,
2022-10-27_Tasso ID 6 Tasso Ack Lysed WB Frozen Shipped.fcs,13.0,2.61,56.1,10.9,0.87,0,0,6.09,1.30,3.04,0,78.7,28.3,0,0,0,0.87,4.35,
2022-10-27_Tasso ID 8 Tasso Ack Lysed WB Frozen Shipped.fcs,15.6,2.22,50.8,26.7,0.32,4.44,11.4,32.4,3.49,3.81,0,47.0,13.0,0.32,0.32,0,0.95,22.5,
2022-10-27_Tasso ID 9 Tasso Ack Lysed WB Frozen Shipped.fcs,24.8,1.46,83.9,59.1,1.46,0,0.73,39.4,0.73,10.2,0,14.6,3.65,0,0,0,5.11,19.0,
2022-10-27_Tasso ID 10 Tasso Ack Lysed WB Frozen Shipped.fcs,16.7,0,77.1,60.4,6.25,4.17,6.25,41.7,2.08,6.25,0,27.1,6.25,0,0,0,2.08,27.1,
2022-10-27_Tasso ID 11 Tasso Ack Lysed WB Frozen Shipped.fcs,26.3,6.85,45.6,44.5,2.34,3.27,6.70,21.0,2.49,11.1,0,50.5,23.7,1.87,1.09,0,6.07,11.1,
2022-10-27_Tasso ID 13 Tasso Ack Lysed WB Frozen Shipped.fcs,19.4,1.39,63.9,37.5,1.85,1.39,3.70,26.4,3.24,4.63,0,48.1,5.56,0.46,0.46,0.93,7.41,16.2,
2022-10-27_Tasso ID 14 Tasso Ack Lysed WB Frozen Shipped.fcs,30.5,5.26,17.2,47.0,5.96,1.75,0.70,8.77,0.70,1.40,0,83.2,27.0,0.35,1.40,0,1.05,12.3,
2022-10-27_Tasso ID 15 Tasso Ack Lysed WB Frozen Shipped.fcs,58.3,6.67,65.0,91.7,0,5.00,5.00,35.0,6.67,15.0,0,41.7,15.0,0,0,0,5.00,46.7,
2022-10-27_Tasso ID 6 Vein PBMC Frozen.fcs,24.5,0.73,78.7,9.48,1.77,1.16,0.61,13.8,0.98,7.28,0,66.2,28.7,0.31,0.31,0,1.71,3.18,
2022-10-27_Tasso ID 8 Vein PBMC Frozen.fcs,20.5,6.21,29.8,10.8,2.00,0.76,2.53,19.7,2.53,3.77,0,82.8,32.6,1.45,0.20,0,2.00,19.8,
2022-10-27_Tasso ID 9 Vein PBMC Frozen.fcs,26.5,2.05,84.5,36.2,0.79,1.84,1.99,55.7,2.52,14.2,0,25.0,6.03,1.00,0.16,0,11.1,14.8,
2022-10-27_Tasso ID 10 Vein PBMC Frozen.fcs,17.0,0.99,85.4,34.1,8.15,8.15,2.72,49.6,1.23,11.1,0,39.5,5.19,2.96,0.74,0,16.5,15.8,
2022-10-27_Tasso ID 11 Vein PBMC Frozen.fcs,47.9,11.5,30.9,25.4,4.55,1.25,2.27,15.3,3.09,11.2,0.074,78.7,33.0,4.35,0.39,0,7.45,11.4,
