,"Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA+ , CCR7- (TEMRA) ***/Phen BTLA+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA+ , CCR7- (TEMRA) ***/Phen CD25+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA+ , CCR7- (TEMRA) ***/Phen CD27+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA+ , CCR7- (TEMRA) ***/Phen CD28+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA+ , CCR7- (TEMRA) ***/Phen CD38+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA+ , CCR7- (TEMRA) ***/Phen CD69+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA+ , CCR7- (TEMRA) ***/Phen CD103+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA+ , CCR7- (TEMRA) ***/Phen CD127+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA+ , CCR7- (TEMRA) ***/Phen CD137+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA+ , CCR7- (TEMRA) ***/Phen CD161+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA+ , CCR7- (TEMRA) ***/Phen CD223+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA+ , CCR7- (TEMRA) ***/Phen GranzymeB+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA+ , CCR7- (TEMRA) ***/Phen HLADR+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA+ , CCR7- (TEMRA) ***/Phen ICOS+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA+ , CCR7- (TEMRA) ***/Phen KI67+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA+ , CCR7- (TEMRA) ***/Phen OX40+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA+ , CCR7- (TEMRA) ***/Phen PD1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4+, CD8-/NOT CD127low, CD25hi (Conventional CD4 T cells Total)/CD45RA+ , CCR7- (TEMRA) ***/Phen TIM3+ | Freq. of Parent (%)",
2024-11-13_Tasso ID 05 Tasso WB.fcs,1.16,8.72,75.0,79.1,19.2,0,0,22.7,0.58,1.74,0.58,20.9,3.49,3.49,0.58,0,1.16,8.72,
2024-11-13_Tasso ID 07 Tasso WB.fcs,0.80,6.40,71.2,99.2,18.4,0,0.80,38.4,0,2.40,0.80,0,0.80,2.40,0,0,0.80,8.80,
2024-11-13_Tasso ID 12 Tasso WB.fcs,3.39,5.08,94.9,100,22.0,0,0,32.2,0,3.39,0,0,1.69,5.08,0,0,0,13.6,
2024-11-13_Tasso ID 17 Tasso WB.fcs,9.09,9.09,100,100,27.3,0,0,18.2,0,0,0,0,0,0,0,0,0,9.09,
2024-11-13_Tasso ID 18 Tasso WB.fcs,11.4,3.34,52.5,66.9,9.36,0.33,0,23.4,0,6.02,0,36.5,3.01,1.34,0.33,0,5.02,7.36,
2024-11-13_Tasso ID 19 Tasso WB.fcs,0.14,3.93,88.1,97.9,6.18,0.14,0,15.4,0.14,0.42,0,0.14,0.28,0.14,0,0,0.56,2.95,
2024-11-13_Tasso ID 20 Tasso WB.fcs,7.35,0,98.5,98.5,27.9,0,0,20.6,0,1.47,0,0,1.47,0,0,0,0,7.35,
2024-11-13_Tasso ID 21 Tasso WB.fcs,0.60,5.02,90.2,98.6,17.5,0.20,0,24.9,0,0.60,0,1.81,1.00,1.61,0,0,0.20,4.02,
2024-11-13_Tasso ID 05 Tasso WB SH.fcs,9.52,4.76,42.9,61.9,4.76,4.76,0,23.8,0,0,0,57.1,0,9.52,0,0,0,0,
2024-11-13_Tasso ID 07 Tasso WB SH.fcs,1.14,7.95,88.6,100,10.2,0,1.14,25.0,0,1.14,0,0,0,0,0,0,1.14,13.6,
2024-11-13_Tasso ID 12 Tasso WB SH.fcs,5.30,5.30,95.4,99.3,17.2,0.66,0,20.5,0,5.30,0,0,0,2.65,0,0,2.65,16.6,
2024-11-13_Tasso ID 17 Tasso WB SH.fcs,12.5,12.5,62.5,100,0,0,0,37.5,0,0,0,0,0,12.5,0,0,0,12.5,
2024-11-13_Tasso ID 18 Tasso WB SH.fcs,3.95,0.56,58.2,67.8,11.3,0.56,0,16.9,0.56,1.13,0,31.6,1.69,0,0,0,1.13,9.04,
2024-11-13_Tasso ID 19 Tasso WB SH.fcs,1.90,2.45,96.7,95.4,9.78,0.54,0.27,13.0,0,2.17,0,1.63,0.27,0.82,0,0,1.09,7.61,
2024-11-13_Tasso ID 20 Tasso WB SH.fcs,5.71,2.86,97.1,94.3,31.4,0,0,11.4,0,0,0,0,0,0,0,0,0,17.1,
2024-11-13_Tasso ID 21 Tasso WB SH.fcs,6.04,5.49,97.8,98.9,19.8,0.55,0,12.1,0,0.55,0,1.10,2.75,2.75,0,0,0.55,11.0,
2024-11-13_SAC253053.fcs,25.9,4.98,95.5,98.0,20.9,0.50,0,17.4,0.50,3.48,0.50,1.49,3.98,6.47,0,0,2.49,11.4,
2024-11-13_Tasso ID 05 Vein PBMC.fcs,24.0,9.39,31.8,39.0,12.2,0.55,0.28,22.7,0,3.31,0,61.6,11.0,9.67,0,0,1.93,10.2,
2024-11-13_Tasso ID 07 Vein PBMC.fcs,25.0,12.5,91.1,100,28.6,0,3.57,41.1,0,5.36,0,0,5.36,5.36,0,1.79,3.57,16.1,
2024-11-13_Tasso ID 12 Vein PBMC.fcs,28.2,10.3,94.9,97.4,25.6,0,2.56,37.2,0,3.85,0,1.28,5.13,2.56,0,0,2.56,20.5,
2024-11-13_Tasso ID 17 Vein PBMC.fcs,29.1,8.18,84.5,90.0,30.0,0,0,48.2,0,3.64,0,11.8,10.0,8.18,0,0,0.91,15.5,
2024-11-13_Tasso ID 18 Vein PBMC.fcs,20.0,3.57,27.9,47.4,6.82,0.42,0.21,33.6,0.10,7.56,0,53.2,4.30,3.46,0.21,0,4.41,4.93,
2024-11-13_Tasso ID 19 Vein PBMC.fcs,15.8,7.45,94.2,96.7,15.3,0.30,0.30,30.7,0,5.78,0.15,3.95,1.67,3.65,0,0.30,2.58,12.3,
2024-11-13_Tasso ID 20 Vein PBMC.fcs,16.6,6.69,98.7,99.7,34.7,0.32,0,17.8,0,1.27,0,0.32,5.73,5.41,0,0,4.14,21.0,
2024-11-13_Tasso ID 21 Vein PBMC.fcs,26.1,10.5,94.1,96.1,22.2,0,0.65,40.5,0,0,0,6.54,3.92,12.4,0,0,5.23,14.4,
2024-11-13_Tasso ID 05 Vein WB.fcs,0,5.94,71.3,76.2,12.9,0,0,20.8,0,0,0,23.3,4.95,1.98,0,0,0,8.42,
2024-11-13_Tasso ID 07 Vein WB.fcs,2.17,6.52,84.8,100,20.7,0,1.09,29.3,0,1.09,0,1.09,0,3.26,0,0,0,1.09,
2024-11-13_Tasso ID 12 Vein WB.fcs,0,3.64,78.2,98.2,16.4,0,0,10.9,0,0,0,1.82,0,0,0,0,1.82,5.45,
2024-11-13_Tasso ID 17 Vein WB.fcs,2.13,4.26,93.6,100,22.3,0,0,30.9,0,0,0,0,2.13,0,0,0,0,8.51,
2024-11-13_Tasso ID 18 Vein WB.fcs,0.72,5.06,65.1,78.5,10.7,0,0.54,25.0,0,4.16,0,28.2,1.99,1.99,0,0,1.27,5.79,
2024-11-13_Tasso ID 19 Vein WB.fcs,0,2.39,89.1,98.0,5.85,0.13,0.13,17.2,0,0,0,0,0,0.66,0,0,0,2.79,
2024-11-13_Tasso ID 20 Vein WB.fcs,0.95,3.05,69.1,99.8,24.6,0.38,0,24.2,0,0.19,0,0,2.67,1.71,0,0,0.95,9.71,
2024-11-13_Tasso ID 21 Vein WB.fcs,0.13,4.49,80.3,98.7,18.0,0,0.13,30.1,0,0.13,0,1.19,0.79,0.92,0,0,0.53,3.83,
