,"Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7- (EM) ***/Phen BTLA+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7- (EM) ***/Phen CD25+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7- (EM) ***/Phen CD27+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7- (EM) ***/Phen CD28+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7- (EM) ***/Phen CD38+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7- (EM) ***/Phen CD69+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7- (EM) ***/Phen CD103+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7- (EM) ***/Phen CD127+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7- (EM) ***/Phen CD137+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7- (EM) ***/Phen CD161+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7- (EM) ***/Phen CD223+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7- (EM) ***/Phen GranzymeB+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7- (EM) ***/Phen HLADR+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7- (EM) ***/Phen ICOS+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7- (EM) ***/Phen KI67+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7- (EM) ***/Phen OX40+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7- (EM) ***/Phen PD1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19-, CD3+ (T cells Total) ***/TCRgd-/NOT CD161+, MR1+/CD4-, CD8+ (Conventional CD8 T cells Total)/CD45RA- , CCR7- (EM) ***/Phen TIM3+ | Freq. of Parent (%)",
2024-11-13_Tasso ID 05 Tasso WB.fcs,4.09,9.34,28.7,36.0,5.65,0.81,2.77,17.4,1.10,6.63,0,72.0,38.8,1.21,0.058,0.058,2.48,5.59,
2024-11-13_Tasso ID 07 Tasso WB.fcs,0.13,2.16,31.4,74.1,2.29,1.08,13.0,61.0,1.35,28.3,0.13,20.6,19.4,3.91,0,0.13,21.6,8.23,
2024-11-13_Tasso ID 12 Tasso WB.fcs,2.93,3.15,71.4,82.0,2.03,1.13,13.5,68.5,0,26.8,0,10.8,6.08,0.90,0,0,19.8,4.50,
2024-11-13_Tasso ID 17 Tasso WB.fcs,18.0,3.89,72.4,59.0,1.41,1.06,5.65,39.6,3.53,4.59,0,41.3,36.0,0.71,0.35,0,18.0,2.12,
2024-11-13_Tasso ID 18 Tasso WB.fcs,13.1,1.83,71.0,70.8,4.70,2.09,25.8,54.6,1.83,11.5,0,28.7,12.5,2.35,0,0,17.8,6.01,
2024-11-13_Tasso ID 19 Tasso WB.fcs,0.33,0.33,35.5,57.2,4.68,1.67,12.7,37.5,0.67,12.7,0,34.1,16.7,2.01,0.33,0,24.1,6.69,
2024-11-13_Tasso ID 20 Tasso WB.fcs,9.66,6.76,71.5,72.5,2.90,1.93,6.28,39.6,2.42,10.1,0,42.5,31.4,4.35,0,0.48,44.0,6.28,
2024-11-13_Tasso ID 21 Tasso WB.fcs,0.60,1.95,54.2,70.1,13.8,1.20,7.36,37.5,0.30,18.9,0,24.2,29.4,11.7,0.45,0,18.6,8.41,
2024-11-13_Tasso ID 05 Tasso WB SH.fcs,15.5,7.90,35.4,44.7,6.27,0,2.18,19.6,1.91,8.72,0,68.1,42.8,1.09,0,0,3.54,4.09,
2024-11-13_Tasso ID 07 Tasso WB SH.fcs,4.33,4.64,63.5,81.7,1.86,1.55,18.9,64.1,0.93,26.6,0,13.0,14.6,1.86,0,0,16.7,10.2,
2024-11-13_Tasso ID 12 Tasso WB SH.fcs,4.26,3.33,81.4,83.8,1.20,5.40,9.66,52.8,2.80,30.5,0.067,8.86,7.99,0.67,0.067,0,19.3,3.66,
2024-11-13_Tasso ID 17 Tasso WB SH.fcs,16.2,1.77,63.3,58.2,1.27,1.01,3.54,29.6,6.08,6.33,0,43.0,41.0,1.01,0,0,12.2,3.04,
2024-11-13_Tasso ID 18 Tasso WB SH.fcs,6.87,0.43,73.8,72.5,3.00,3.00,21.5,52.8,0.86,12.0,0.43,21.9,14.2,0.86,0,0,12.4,3.43,
2024-11-13_Tasso ID 19 Tasso WB SH.fcs,3.14,0.22,55.6,58.3,4.04,2.02,10.3,35.4,0.22,15.2,0.22,33.2,12.8,1.57,0,0,17.9,2.91,
2024-11-13_Tasso ID 20 Tasso WB SH.fcs,7.10,2.96,71.6,71.0,4.14,4.73,9.47,35.5,2.96,8.28,0.59,40.2,31.4,3.55,0,0,33.7,3.55,
2024-11-13_Tasso ID 21 Tasso WB SH.fcs,2.13,1.48,78.5,78.5,12.3,10.8,7.21,36.7,1.48,31.0,0,14.4,32.1,10.2,0,0,15.1,6.39,
2024-11-13_SAC253053.fcs,16.8,9.36,70.7,79.4,2.82,1.59,10.0,57.5,0.94,12.0,0.012,13.7,39.6,5.16,0.012,0.012,30.4,2.81,
2024-11-13_Tasso ID 05 Vein PBMC.fcs,23.7,12.2,35.5,37.0,8.22,1.19,2.17,18.3,1.51,7.49,0.061,73.9,45.0,2.76,0,0.031,3.72,3.72,
2024-11-13_Tasso ID 07 Vein PBMC.fcs,21.5,10.9,72.2,83.3,3.33,2.64,15.0,73.8,2.09,34.4,0,20.0,25.1,7.91,0,0.078,30.2,9.61,
2024-11-13_Tasso ID 12 Vein PBMC.fcs,17.3,7.43,89.2,83.4,2.08,3.04,13.4,74.9,1.07,33.6,0,12.9,9.46,2.14,0,0.053,28.4,5.24,
2024-11-13_Tasso ID 17 Vein PBMC.fcs,21.6,2.44,68.3,58.9,1.02,1.15,3.43,43.7,6.53,7.78,0.016,35.0,39.6,1.16,0.016,0.016,19.3,2.36,
2024-11-13_Tasso ID 18 Vein PBMC.fcs,22.5,3.93,80.5,79.5,5.27,3.37,25.5,63.3,3.86,17.1,0,19.3,17.1,3.65,0,0.070,24.2,6.18,
2024-11-13_Tasso ID 19 Vein PBMC.fcs,11.8,2.46,70.6,56.8,4.11,2.11,12.0,45.5,0.81,19.5,0.20,39.9,15.4,4.52,0,0.058,40.4,4.08,
